sprite name;josm path
signal_station;B/B22.svg
bridge_height;D/D20.svg
bridge_width;D/D21.svg
landmark_church;E/E10.1.svg
landmark_church_tower;E/E10.2.svg
landmark_church_spire;E/E10.3.svg
landmark_church_dome;E/E10.4.svg
landmark_cross;E/E12.svg
landmark_temple;E/E15.svg
landmark_mosque;E/E17.svg
landmark_tower;E/E20.svg
landmark_flare_stack;E/E23.svg
landmark_monument;E/E24.svg
landmark_windmill;E/E25.svg
landmark_windmotor;E/E26.1.svg
windpark;E/E26.2.svg
landmark_flagstaff;E/E27.svg
landmark_mast;E/E28.svg
landmark_radio;E/E28_.svg
harbour_harbour;F/F.svg
harbour_fishing;F/F10.svg
harbour_harbour_master;F/F60.svg
weed_kelp;J/J13.2.svg
weed_seegrass;J/J13.4.svg
sand_waves;J/J14.svg
spring;J/J15.svg
seabed_area;J/J20.svg
rock_covers;K/K11.svg
rock_awash;K/K12.svg
rock_submerged;K/K13.svg
wreck_hull_showing;K/K24.svg
wreck_non_dangerous;K/K29.svg
area_fish_sanctuary;K/K48.1.svg
light_major;P/P1.major.svg
light_minor;P/P1.minor.svg
light_color;P/P10.4.svg
vessel;P/P6.svg
buoy_barrel;Q/barrel/general.svg
buoy_buoyant;Q/buoyant/general.svg
buoy_cairn;Q/cairn/general.svg
buoy_can;Q/can/general.svg
buoy_conical;Q/conical/general.svg
buoy_pillar;Q/pillar/general.svg
2_cones_base_together;Q/Q9/2_cones_base_together/generic.svg
2_cones_down;Q/Q9/2_cones_down/generic.svg
2_cones_point_together;Q/Q9/2_cones_point_together/generic.svg
2_cones_up;Q/Q9/2_cones_up/generic.svg
2_spheres;Q/Q9/2_spheres/generic.svg
board;Q/Q9/board/generic.svg
cone_point_down;Q/Q9/cone_point_down/generic.svg
cone_point_up;Q/Q9/cone_point_up/generic.svg
cross;Q/Q9/cross/generic.svg
cylinder;Q/Q9/cylinder/generic.svg
flag;Q/Q9/flag/generic.svg
mooring;Q/Q9/mooring/generic.svg
rhombus;Q/Q9/rhombus/generic.svg
sphere;Q/Q9/sphere/generic.svg
triangle_point_down;Q/Q9/triangle_point_down/generic.svg
triangle_point_up;Q/Q9/triangle_point_up/generic.svg
triangles_point2point;Q/Q9/triangles_point2point/generic.svg
x-shape;Q/Q9/x-shape/generic.svg
float;Q/Q31/generic.svg
cevni_anchoring_permitted;Q/Q126/anchoring_permitted.svg
cevni_berthing_lateral_limit;Q/Q126/cevni_berthing_lateral_limit.svg
cevni_berthing_permitted;Q/Q126/cevni_berthing_permitted.svg
cevni_channel_distance_left;Q/Q126/cevni_channel_distance_left.svg
cevni_channel_distance_right;Q/Q126/cevni_channel_distance_right.svg
cevni_channel_one_way;Q/Q126/cevni_channel_one_way.svg
cevni_channel_two_way;Q/Q126/cevni_channel_two_way.svg
cevni_closed_area;Q/Q126/cevni_closed_area.svg
radar_reflector;S/S4.svg
